x,y_true,y_measured,error
-5,-19,-18.006571693977534,0.9934283060224658
-4,-16,-16.27652860234237,-0.27652860234237053
-3,-13,-11.704622923798615,1.295377076201385
-2,-10,-6.953940287183949,3.046059712816051
-1,-7,-7.468306749446672,-0.46830674944667194
0,-4,-4.468273913898361,-0.46827391389836137
1,-1,2.158425631014783,3.158425631014783
2,2,3.534869458305818,1.5348694583058178
3,5,4.061051228130096,-0.9389487718699039
4,8,9.08512008717193,1.08512008717193
5,11,10.073164614375075,-0.9268353856249245
